RICSService	RICSDate	DatasetName	DatasetID	ILModel	ILTopic	ILTable	ErrorID	ErrorCategory	ErrorCount	BFSNr	Kt	ErrorDescription	RICSProfile	ErrorX	ErrorY
MOCHECKSO	20200715	257100.itf	ED0334EC475181EA3C55B564F4647EE5	DM01AVSO24LV95	Gemeindegrenzen	Gemeindegrenze Geometrie	CH113002	warning	1	2571	SO	Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante	all,data_forward	2631597.332	1240396.845
MOCHECKSO	20200709	244500.itf	EFF5D8D94145524DDDC1F023EC5C9AD0	DM01AVSO24LV95	Gebaeudeadressen	LokalisationsName	CH192002	warning	1	2445	SO	LokalisationsName muss mindestens eine LokalisationsNamePos haben	ohne_gemeindegrenztest,data_forward	NULL	NULL
MOCHECKSO	20200709	245500.itf	9747B1A5BD198525AA4B2BB9130076DF	DM01AVSO24LV95	Nummerierungsbereiche	Nummerierungsbereich	CH100501	warning	1	2455	SO	Nummerierungsbereich muss mindestens eine NBGeometrie haben	ohne_gemeindegrenztest,data_forward	NULL	NULL
MOCHECKSO	20200709	245500.itf	9747B1A5BD198525AA4B2BB9130076DF	DM01AVSO24LV95	Gemeindegrenzen	Gemeindegrenze Geometrie	CH113002	warning	1	2455	SO	Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante	ohne_gemeindegrenztest,data_forward	2606140.846	1223732.684
MOCHECKSO	20200709	245500.itf	9747B1A5BD198525AA4B2BB9130076DF	DM01AVSO24LV95	Gemeindegrenzen	Gemeindegrenze Geometrie	CH113002	warning	1	2455	SO	Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante	ohne_gemeindegrenztest,data_forward	2606302.883	1223496.935
MOCHECKSO	20200709	245500.itf	9747B1A5BD198525AA4B2BB9130076DF	DM01AVSO24LV95	Gemeindegrenzen	Gemeindegrenze Geometrie	CH113002	warning	1	2455	SO	Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante	ohne_gemeindegrenztest,data_forward	2606330.513	1223500.505
MOCHECKSO	20200709	245500.itf	9747B1A5BD198525AA4B2BB9130076DF	DM01AVSO24LV95	Gemeindegrenzen	Gemeindegrenze Geometrie	CH113002	warning	1	2455	SO	Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante	ohne_gemeindegrenztest,data_forward	2603143.767	1222696.07
MOCHECKSO	20200709	246300.itf	3F12E08474204A3B02F34A2D67E9DD26	DM01AVSO24LV95	Gebaeudeadressen	LokalisationsName	CH192002	warning	1	2463	SO	LokalisationsName muss mindestens eine LokalisationsNamePos haben	ohne_gemeindegrenztest,data_forward	NULL	NULL
MOCHECKSO	20200709	246300.itf	3F12E08474204A3B02F34A2D67E9DD26	DM01AVSO24LV95	Kantonsgrenzen	Kantonsgrenzabschnitt	CH130101	warning	1	2463	SO	Punkt ist kein Knickpunkt der Kantonsgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante	ohne_gemeindegrenztest,data_forward	2603832.614	1218347.097
MOCHECKSO	20200709	246400_grenzen_err_SO.itf	23CB3E38EB785481D9C7CF3E4719B539	DM01AVSO24LV95	Gemeindegrenzen	Gemeindegrenze	92102	Grenztest	1	2464	SO	Der Grenzpunkt 2602996.675/1225023.842 kommt nur in Leuzigen vor	ohne_gemeindegrenztest,data_forward	2602996.675	1225023.842
